0,1,7,
0,5,18,
0,9,19,  
0,15,15,
0,19,13,
1,2,2,
1,4,19,
1,5,5,
1,8,8,
1,9,1,
1,14,16,
1,17,20,
1,18,11,
2,6,19,
2,7,7,
2,8,15,
2,9,3,
2,11,17,
2,12,17,
2,13,3,
2,17,8,
2,18,9,
3,4,6,
3,7,20,
3,11,6,
3,12,11,
3,14,9,
3,15,12,
3,16,19,
4,8,13,
4,9,9,
4,11,20,
4,13,19,
4,17,4,
4,19,18,
5,6,10,
5,9,11,
5,11,17,
5,12,17,
5,13,16,
5,14,5,
6,9,3,
6,12,5,
6,13,7,
6,17,3,
7,8,6,
7,11,20,
7,13,20,
7,19,1,
8,10,4,
8,11,6,
8,16,13,
8,18,4,
9,12,11,
9,13,12,
9,17,2,
10,15,18,
10,16,12,
11,14,9,
11,15,19,
11,18,3,
12,17,6,
12,19,4,
13,15,11,
13,17,4,
14,18,2,
14,19,15,
15,16,2,
16,19,9,
17,18,10,
18,19,18,
